_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
716,NY,211,2015-10
717,SC,186,2015-10
718,TO,478,2015-10
719,ET,91,2015-11
720,NY,176,2015-11
721,SC,149,2015-11
722,TO,342,2015-11
723,ET,104,2015-12
724,NY,169,2015-12
725,SC,144,2015-12
726,TO,335,2015-12
727,ET,92,2016-01
728,NY,156,2016-01
729,SC,131,2016-01
730,TO,346,2016-01
731,ET,123,2016-02
732,NY,170,2016-02
733,SC,173,2016-02
734,TO,364,2016-02
735,ET,155,2016-03
736,NY,197,2016-03
737,SC,204,2016-03
738,TO,517,2016-03
739,ET,197,2016-04
740,NY,257,2016-04
741,SC,246,2016-04
742,TO,695,2016-04
743,ET,247,2016-05
744,NY,326,2016-05
745,SC,306,2016-05
746,TO,895,2016-05
747,ET,255,2016-06
748,NY,344,2016-06
749,SC,341,2016-06
750,TO,1071,2016-06
751,ET,274,2016-07
752,NY,384,2016-07
753,SC,348,2016-07
754,TO,1041,2016-07
755,ET,296,2016-08
756,NY,358,2016-08
757,SC,333,2016-08
758,TO,1072,2016-08
759,ET,228,2016-09
760,NY,265,2016-09
761,SC,207,2016-09
762,TO,656,2016-09
763,ET,139,2016-10
764,NY,187,2016-10
765,SC,171,2016-10
766,TO,489,2016-10
767,ET,82,2016-11
768,NY,148,2016-11
769,SC,135,2016-11
770,TO,388,2016-11
771,ET,96,2016-12
772,NY,164,2016-12
773,SC,125,2016-12
774,TO,362,2016-12
775,ET,102,2017-01
776,NY,146,2017-01
777,SC,147,2017-01
778,TO,347,2017-01
779,ET,104,2017-02
780,NY,170,2017-02
781,SC,139,2017-02
782,TO,357,2017-02
783,ET,183,2017-03
784,NY,237,2017-03
785,SC,223,2017-03
786,TO,608,2017-03
787,ET,173,2017-04
788,NY,276,2017-04
789,SC,222,2017-04
790,TO,627,2017-04
791,ET,234,2017-05
792,NY,323,2017-05
793,SC,323,2017-05
794,TO,894,2017-05
795,ET,250,2017-06
796,NY,350,2017-06
797,SC,346,2017-06
798,TO,943,2017-06
799,ET,287,2017-07
800,NY,367,2017-07
801,SC,320,2017-07
802,TO,971,2017-07
803,ET,324,2017-08
804,NY,344,2017-08
805,SC,312,2017-08
806,TO,1066,2017-08
807,ET,207,2017-09
808,NY,268,2017-09
809,SC,233,2017-09
810,TO,729,2017-09
811,ET,144,2017-10
812,NY,219,2017-10
813,SC,194,2017-10
814,TO,552,2017-10
815,ET,98,2017-11
816,NY,185,2017-11
817,SC,160,2017-11
818,TO,393,2017-11
819,ET,114,2017-12
820,NY,156,2017-12
821,SC,132,2017-12
822,TO,385,2017-12
823,ET,128,2018-01
824,NY,156,2018-01
825,SC,156,2018-01
826,TO,375,2018-01
827,ET,145,2018-02
828,NY,182,2018-02
829,SC,149,2018-02
830,TO,344,2018-02
831,ET,177,2018-03
832,NY,235,2018-03
833,SC,187,2018-03
834,TO,538,2018-03
835,ET,188,2018-04
836,NY,238,2018-04
837,SC,239,2018-04
838,TO,657,2018-04
839,ET,229,2018-05
840,NY,337,2018-05
841,SC,302,2018-05
842,TO,880,2018-05
843,ET,279,2018-06
844,NY,337,2018-06
845,SC,338,2018-06
846,TO,964,2018-06
847,ET,324,2018-07
848,NY,408,2018-07
849,SC,347,2018-07
850,TO,1090,2018-07
851,ET,365,2018-08
852,NY,323,2018-08
853,SC,392,2018-08
854,TO,1117,2018-08
855,ET,209,2018-09
856,NY,256,2018-09
857,SC,216,2018-09
858,TO,719,2018-09
859,ET,187,2018-10
860,NY,227,2018-10
861,SC,186,2018-10
862,TO,582,2018-10
863,ET,140,2018-11
864,NY,199,2018-11
865,SC,169,2018-11
866,TO,397,2018-11
867,ET,108,2018-12
868,NY,157,2018-12
869,SC,123,2018-12
870,TO,329,2018-12
871,ET,123,2019-01
872,NY,162,2019-01
873,SC,151,2019-01
874,TO,341,2019-01
875,ET,143,2019-02
876,NY,190,2019-02
877,SC,158,2019-02
878,TO,382,2019-02
879,ET,170,2019-03
880,NY,236,2019-03
881,SC,240,2019-03
882,TO,576,2019-03
883,ET,193,2019-04
884,NY,290,2019-04
885,SC,237,2019-04
886,TO,724,2019-04
887,ET,235,2019-05
888,NY,336,2019-05
889,SC,285,2019-05
890,TO,879,2019-05
891,ET,242,2019-06
892,NY,315,2019-06
893,SC,280,2019-06
894,TO,901,2019-06
895,ET,308,2019-07
896,NY,407,2019-07
897,SC,323,2019-07
898,TO,1079,2019-07
899,ET,281,2019-08
900,NY,384,2019-08
901,SC,329,2019-08
902,TO,1011,2019-08
903,ET,220,2019-09
904,NY,247,2019-09
905,SC,221,2019-09
906,TO,738,2019-09
907,ET,150,2019-10
908,NY,228,2019-10
909,SC,172,2019-10
910,TO,576,2019-10
911,ET,120,2019-11
912,NY,198,2019-11
913,SC,156,2019-11
914,TO,433,2019-11
915,ET,122,2019-12
916,NY,187,2019-12
917,SC,153,2019-12
918,TO,393,2019-12
919,ET,130,2020-01
920,NY,168,2020-01
921,SC,171,2020-01
922,TO,426,2020-01
923,ET,130,2020-02
924,NY,184,2020-02
925,SC,160,2020-02
926,TO,434,2020-02
927,ET,101,2020-03
928,NY,122,2020-03
929,SC,99,2020-03
930,TO,294,2020-03
931,TO,47,2020-04
932,TO,123,2020-05
933,NY,167,2020-06
934,SC,222,2020-06
935,TO,248,2020-06
936,NY,718,2020-07
937,SC,782,2020-07
938,NY,776,2020-08
939,SC,637,2020-08
940,NY,864,2020-09
941,SC,569,2020-09
942,NY,536,2020-10
943,SC,581,2020-10
944,NY,366,2020-11
945,SC,320,2020-11
946,NY,168,2020-12
947,SC,200,2020-12
948,NY,286,2021-01
949,SC,78,2021-01
950,NY,427,2021-02
951,SC,108,2021-02
952,NY,631,2021-03
953,SC,285,2021-03
954,ET,1,2021-04
955,NY,560,2021-04
956,SC,191,2021-04
957,NY,518,2021-05
958,SC,187,2021-05
959,NY,677,2021-06
960,SC,215,2021-06
961,TO,3,2021-06
962,NY,997,2021-07
963,SC,375,2021-07
964,NY,372,2021-08
965,SC,266,2021-08
966,TO,922,2021-08
967,TO,1773,2021-09
968,TO,1413,2021-10
969,TO,783,2021-11
970,TO,690,2021-12
971,TO,472,2022-01
972,TO,536,2022-02
973,TO,1220,2022-03
